Time of Day,Process Name,PID,Operation,Path,Result,Detail
44:58.0,1.exe,4080,RegQueryValue,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache,SUCCESS,"Type: REG_SZ, Length: 122, Data: C:\Users\vegetable\AppData\Local\Microsoft\Windows\INetCache"
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Disable8And16BitMitigation,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\SYSTEM\CurrentControlSet\Control\Nls\CustomLocale,REPARSE,Desired Access: Query Value
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\EMPTY,NAME NOT FOUND,Length: 120
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\NLS\Language,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\Language\InstallLanguageFallback,BUFFER OVERFLOW,Length: 16
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\MUI\UILanguages,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\MUI\UILanguages\zh-CN,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\MUI\UILanguages\zh-CN\Type,SUCCESS,"Type: REG_DWORD, Length: 4, Data: 146"
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\MUI\UILanguages\zh-CN\DefaultFallback,SUCCESS,"Type: REG_SZ, Length: 12, Data: en-US"
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\MUI\UILanguages\zh-CN\en-US,SUCCESS,"Type: REG_MULTI_SZ, Length: 4, Data: "
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\MUI\UILanguages\zh-CN\AlternateCodePage,NAME NOT FOUND,Length: 12
44:58.0,1.exe,4080,RegOpenKey,HKLM\OSDATA\System\CurrentControlSet\Control\MUI\UILanguages,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\MUI\UILanguages\PendingDelete,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\WOW6432Node\Policies\Microsoft\MUI\Settings,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Policies\Microsoft\MUI\Settings,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU,SUCCESS,"Desired Access: Maximum Allowed, Granted Access: All Access"
44:58.0,1.exe,4080,RegOpenKey,HKCU\Control Panel\Desktop\MuiCached\MachineLanguageConfiguration,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\MUI\Settings\LanguageConfiguration,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU\Software\Policies\Microsoft\Control Panel\Desktop,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU\Control Panel\Desktop\LanguageConfiguration,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU\Control Panel\Desktop,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKCU\Control Panel\Desktop\PreferredUILanguages,NAME NOT FOUND,Length: 12
44:58.0,1.exe,4080,RegOpenKey,HKCU\Control Panel\Desktop\MuiCached,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages,BUFFER OVERFLOW,Length: 12
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode,NAME NOT FOUND,Length: 16
44:58.0,1.exe,4080,CreateFile,C:\Users\vegetable\Desktop\MSVBVM60.DLL,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
44:58.0,1.exe,4080,CreateFile,C:\Windows\SysWOW64\msvbvm60.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\user32.dll,SUCCESS,"Image Base: 0x761c0000, Image Size: 0x195000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\win32u.dll,SUCCESS,"Image Base: 0x74e30000, Image Size: 0x17000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\gdi32.dll,SUCCESS,"Image Base: 0x74ad0000, Image Size: 0x21000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\gdi32full.dll,SUCCESS,"Image Base: 0x75cf0000, Image Size: 0x15a000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\msvcp_win.dll,SUCCESS,"Image Base: 0x75ad0000, Image Size: 0x7c000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\ucrtbase.dll,SUCCESS,"Image Base: 0x75bd0000, Image Size: 0x11f000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\advapi32.dll,SUCCESS,"Image Base: 0x75f60000, Image Size: 0x79000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\msvcrt.dll,SUCCESS,"Image Base: 0x76810000, Image Size: 0xbf000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\sechost.dll,SUCCESS,"Image Base: 0x75b50000, Image Size: 0x76000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\rpcrt4.dll,SUCCESS,"Image Base: 0x75170000, Image Size: 0xbb000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\sspicli.dll,SUCCESS,"Image Base: 0x74940000, Image Size: 0x20000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\cryptbase.dll,SUCCESS,"Image Base: 0x74930000, Image Size: 0xa000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\bcryptprimitives.dll,SUCCESS,"Image Base: 0x75010000, Image Size: 0x5f000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\ole32.dll,SUCCESS,"Image Base: 0x75fe0000, Image Size: 0xf7000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\combase.dll,SUCCESS,"Image Base: 0x752c0000, Image Size: 0x276000"
44:58.0,1.exe,4080,Load Image,C:\Windows\SysWOW64\oleaut32.dll,SUCCESS,"Image Base: 0x77090000, Image Size: 0x92000"
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\Image File Execution Options,REPARSE,"Desired Access: Query Value, Enumerate Sub Keys"
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options,SUCCESS,"Desired Access: Query Value, Enumerate Sub Keys"
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DllNXOptions,NAME NOT FOUND,"Desired Access: Query Value, Enumerate Sub Keys"
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default),SUCCESS,"Type: REG_SZ, Length: 18, Data: 0006020F"
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\zh-CN,NAME NOT FOUND,Length: 532
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\zh-CN,NAME NOT FOUND,Length: 532
44:58.0,1.exe,4080,CreateFile,C:\Windows\SysWOW64\imm32.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\f25bcd2e-2690-55dc-3bc4-07b65b1b41c9,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\1.exe,NAME NOT FOUND,"Desired Access: Query Value, Enumerate Sub Keys"
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Display,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Policies\Microsoft\Windows\Display,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\GRE_Initialize,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableMetaFiles,NAME NOT FOUND,Length: 20
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\Policies\Microsoft\Windows\Control Panel\Desktop,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU\Software\Policies\Microsoft\Windows\Control Panel\Desktop,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKCU\Control Panel\Desktop\EnablePerProcessSystemDPI,NAME NOT FOUND,Length: 20
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Compatibility32,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\Compatibility32\1,NAME NOT FOUND,Length: 172
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\IME Compatibility,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM,SUCCESS,"Desired Access: Maximum Allowed, Granted Access: Read"
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\Windows,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\Windows\LoadAppInit_DLLs,SUCCESS,"Type: REG_DWORD, Length: 4, Data: 0"
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy,REPARSE,Desired Access: Query Value
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\Enabled,SUCCESS,"Type: REG_DWORD, Length: 4, Data: 0"
44:58.0,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Lsa,REPARSE,Desired Access: Query Value
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\MDMEnabled,NAME NOT FOUND,Length: 20
44:58.0,1.exe,4080,RegOpenKey,HKLM\SYSTEM\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration,REPARSE,Desired Access: Query Value
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\a6d3c9ac-9128-522a-495a-1821191173c2,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\ca967c75-04bf-40b5-9a16-98b5f9332a92,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\b6fd710b-f783-4b1c-ab9c-c68099dcc0c7,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\WOW6432Node\Microsoft\OLE,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Microsoft\Ole,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorUseSystemHeap,NAME NOT FOUND,Length: 20
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorSystemHeapIsPrivate,NAME NOT FOUND,Length: 20
44:58.0,1.exe,4080,RegQueryValue,HKLM\SOFTWARE\Microsoft\Ole\AggressiveMTATesting,NAME NOT FOUND,Length: 16
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Microsoft\AppModel\Lookaside\Packages,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU\Software\Classes\Local Settings,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU\Software\Classes\Local Settings\Software\Microsoft\Ole\FeatureDevelopmentProperties,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU\Software\Classes\Local Settings\Software\Microsoft\Ole,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKCU\Software\Classes\Local Settings\Software\Microsoft,SUCCESS,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\Software\WOW6432Node\Microsoft\OLE\Tracing,REPARSE,Desired Access: Read
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\Microsoft\Ole\Tracing,NAME NOT FOUND,Desired Access: Read
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\1aff6089-e863-4d36-bdfd-3581f07440be,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\f0558438-f56a-5987-47da-040ca75aef05,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\c7e09e2a-c663-5399-af79-2fccd321d19a,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\703fcc13-b66f-5868-ddd9-e2db7f381ffb,NAME NOT FOUND,Length: 528
44:58.0,1.exe,4080,RegOpenKey,HKLM\SOFTWARE\WOW6432Node\Microsoft\OLEAUT,NAME NOT FOUND,Desired Access: Query Value
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000602xx,SUCCESS,"Type: REG_SZ, Length: 26, Data: kernel32.dll"
44:58.1,1.exe,4080,CreateFile,C:\Windows\Globalization\Sorting\SortDefault.nls,SUCCESS,"Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
44:58.1,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Nls\Sorting\Ids,REPARSE,Desired Access: Read
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\Sorting\Ids\zh-CN,NAME NOT FOUND,Length: 90
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\Sorting\Ids\zh,SUCCESS,"Type: REG_SZ, Length: 78, Data: {0000003A-57EE-1E5C-00B4-D0000BB1E11E}"
44:58.1,1.exe,4080,CreateFile,C:\Windows\SysWOW64\VB6CHS.DLL,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\SafeProcessSearchMode,NAME NOT FOUND,Length: 16
44:58.1,1.exe,4080,CreateFile,C:\Users\vegetable\Desktop\IMM32.DLL,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\en-US,NAME NOT FOUND,Length: 532
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\en-US,NAME NOT FOUND,Length: 532
44:58.1,1.exe,4080,CreateFile,C:\Windows\SysWOW64\rpcss.dll,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
44:58.1,1.exe,4080,Load Image,C:\Windows\SysWOW64\kernel.appcore.dll,SUCCESS,"Image Base: 0x74eb0000, Image Size: 0xf000"
44:58.1,1.exe,4080,CreateFile,C:\Windows\SysWOW64\uxtheme.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
44:58.1,1.exe,4080,RegOpenKey,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Themes\Personalize,SUCCESS,Desired Access: Query Value
44:58.1,1.exe,4080,RegQueryValue,HKCU\Software\Microsoft\Windows\CurrentVersion\Themes\Personalize\AppsUseLightTheme,SUCCESS,"Type: REG_DWORD, Length: 4, Data: 1"
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\WMI\Security\673cf800-208a-5327-3f4b-2be44a66627a,NAME NOT FOUND,Length: 528
44:58.1,1.exe,4080,CreateFile,C:\Users\vegetable\Desktop\1.exe.cfg,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
44:58.1,1.exe,4080,CreateFile,C:\Users\vegetable\Desktop\SXS.DLL,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
44:58.1,1.exe,4080,CreateFile,C:\Windows\SysWOW64\sxs.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
44:58.1,1.exe,4080,Load Image,C:\Windows\SysWOW64\msctf.dll,SUCCESS,"Image Base: 0x75e50000, Image Size: 0x103000"
44:58.1,1.exe,4080,RegOpenKey,HKLM\System\CurrentControlSet\Control\Nls\Codepage,REPARSE,Desired Access: Read
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\CodePage\932,SUCCESS,"Type: REG_SZ, Length: 20, Data: c_932.nls"
44:58.1,1.exe,4080,CreateFile,C:\Windows\System32\C_932.NLS,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
44:58.1,1.exe,4080,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\CodePage\949,SUCCESS,"Type: REG_SZ, Length: 20, Data: c_949.nls"
44:58.1,1.exe,4080,CreateFile,C:\Windows\System32\C_949.NLS,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
